park,assassination,theft,gang_rape,burglary,rape,assualt_attack,harassment(sexual),totalcrime,long,lat,area,crime/area
CLEARVIEW PARK,0,0,0,0,0,0,0,0,,,QUEENS       ,6.05
RALPH DEMARCO PARK,0,0,0,0,0,0,0,0,,,QUEENS       ,6.03
WINGATE PARK,0,0,0,0,0,0,0,0,,,BROOKLYN     ,5.888
UNNAMED PARK ON DRUMGOOLE ROAD & HUGUENOT AVENUE,0,0,0,0,0,0,0,0,,,STATEN ISLAND,5.848
DE WITT CLINTON PARK,0,0,0,0,0,0,0,0,,,MANHATTAN    ,5.829
UNNAMED PARK ON BOUNDARY AVENUE,0,0,0,0,0,0,0,0,,,STATEN ISLAND,5.765
VAN VOORHEES PARK,0,0,0,0,0,0,0,0,,,BROOKLYN     ,5.739
HALLETS COVE PLAYGROUND,0,0,0,0,0,0,0,0,,,QUEENS       ,5.7
MCKINLEY PARK,0,0,0,0,0,0,0,0,,,BROOKLYN     ,5.655
SOUTHERN FIELDS,0,0,0,0,0,0,0,0,,,QUEENS       ,5.593
DEVOE PARK,0,0,0,0,0,0,0,0,,,BRONX        ,5.44
ST. MICHAEL'S PLAYGROUND,0,0,0,0,0,1,0,1,,,QUEENS       ,5.43
MAFERA PARK,0,0,0,0,0,1,0,2,,,QUEENS       ,5.4
KENNEDY PLAYGROUND,0,0,0,0,0,0,0,0,,,QUEENS       ,5.4
SEAGIRT AVE WETLANDS,0,0,0,0,0,0,0,0,,,QUEENS       ,5.323
JOHN PAUL JONES PARK,0,0,0,0,0,0,0,0,,,BROOKLYN     ,5.317
WALKER PARK,0,0,0,0,0,0,0,0,,,STATEN ISLAND,5.278
OLD PLACE CREEK PARK,0,0,0,0,0,0,0,0,,,STATEN ISLAND,5.233
HOOVER - MANTON PLAYGROUNDS,0,0,0,0,0,1,0,1,,,QUEENS       ,5.2
GEN. DOUGLAS MACARTHUR PARK,0,0,0,0,0,0,0,0,,,STATEN ISLAND,5.165
GROVER CLEVELAND PLAYGROUND,0,0,0,0,0,0,0,1,,,QUEENS       ,5.1
POLICE OFFICER EDWARD BYRNE PARK,0,0,0,0,0,0,0,0,,,QUEENS       ,4.966
CYPRESS HILLS PLAYGROUND,0,0,0,0,0,0,0,0,,,BROOKLYN     ,4.947
SETH LOW PLAYGROUND/ BEALIN SQUARE,0,0,0,0,0,0,1,1,,,BROOKLYN     ,4.945
KELLY PARK,0,0,0,0,0,1,0,1,,,BROOKLYN     ,4.896
SOCRATES SCULPTURE PARK,0,0,0,0,0,0,0,0,,,QUEENS       ,4.893
BEACH 9 PLAYGROUND,0,0,0,0,0,0,0,0,,,QUEENS       ,4.863
SOUTH BEACH WETLANDS,0,0,0,0,0,0,0,0,,,STATEN ISLAND,4.794
NAPLES PLAYGROUND,0,0,0,0,0,0,0,0,,,STATEN ISLAND,4.784
RAOUL WALLENBERG FOREST,0,0,0,0,0,0,0,0,,,BRONX        ,4.73
WEST HARLEM PIERS,0,0,0,0,0,0,0,0,,,MANHATTAN    ,4.712
SPORTS PARK,0,0,0,0,0,0,0,0,,,STATEN ISLAND,4.647
WASHINGTON'S WALK,0,0,0,0,0,0,0,0,,,BRONX        ,4.637
CAMBRIA PLAYGROUND,0,0,0,0,0,0,0,0,,,QUEENS       ,4.635
MARCONI PARK,0,0,0,0,0,0,0,0,,,QUEENS       ,4.635
VALENTINO PIER,0,0,0,0,0,0,0,0,,,BROOKLYN     ,4.525
GRANITEVILLE QUARRY PARK,0,0,0,0,0,0,0,0,,,STATEN ISLAND,4.465
